Date,Open,High,Low,Close,Volume
8-Oct-07,297.20,304.82,296.68,304.51,-
5-Oct-07,293.26,297.70,293.21,296.73,-
4-Oct-07,292.25,292.25,288.24,289.23,-
3-Oct-07,292.83,294.20,289.89,291.72,-
2-Oct-07,291.40,298.11,289.71,291.90,-
1-Oct-07,284.70,291.88,284.52,290.98,-
28-Sep-07,283.22,284.49,281.78,283.35,-
27-Sep-07,285.58,285.58,282.61,283.47,-
26-Sep-07,284.91,285.61,281.62,283.80,-
25-Sep-07,281.72,284.50,281.15,284.22,-
24-Sep-07,280.22,285.44,279.72,283.73,-
21-Sep-07,277.89,280.11,276.14,279.77,-
20-Sep-07,273.23,278.12,272.74,276.14,-
19-Sep-07,269.37,274.45,269.16,273.15,-
18-Sep-07,263.00,268.36,261.87,267.37,-
17-Sep-07,263.00,264.38,261.77,262.39,-
14-Sep-07,261.34,264.87,260.85,264.11,-
13-Sep-07,261.77,263.34,261.35,262.13,-
12-Sep-07,260.00,263.73,259.24,261.06,-
11-Sep-07,258.24,260.56,257.61,260.40,-
10-Sep-07,260.38,260.77,255.18,256.98,-
7-Sep-07,258.67,260.36,258.14,259.42,-
6-Sep-07,264.42,264.65,258.86,261.50,-
5-Sep-07,261.44,264.48,260.86,263.64,-
4-Sep-07,257.25,263.74,257.05,262.31,-
31-Aug-07,256.29,257.99,255.48,257.37,-
30-Aug-07,255.92,257.44,255.03,255.44,-
29-Aug-07,253.67,256.39,253.36,256.18,-
28-Aug-07,255.51,257.23,252.64,252.95,-
27-Aug-07,256.96,258.47,255.44,256.37,-
24-Aug-07,256.05,257.52,254.00,257.24,-
23-Aug-07,257.74,257.81,253.25,255.84,-
22-Aug-07,254.73,257.87,254.37,256.12,-
21-Aug-07,249.22,253.83,248.64,253.05,-
20-Aug-07,250.98,251.03,247.75,248.71,-
17-Aug-07,248.47,250.25,245.58,249.77,-
16-Aug-07,245.76,247.97,239.99,245.51,-
15-Aug-07,254.25,255.59,248.11,248.53,-
14-Aug-07,257.60,258.44,253.75,254.05,-
13-Aug-07,259.51,259.62,256.26,257.49,-
10-Aug-07,254.83,259.10,252.56,257.62,-
9-Aug-07,260.14,263.15,257.06,257.11,-
8-Aug-07,259.41,262.63,258.29,262.63,-
7-Aug-07,254.62,259.68,254.27,257.75,-
6-Aug-07,251.25,254.82,251.00,254.74,-
3-Aug-07,254.77,256.34,251.25,251.25,-
2-Aug-07,256.60,257.24,254.25,255.25,-
1-Aug-07,254.99,258.00,253.82,256.21,-
31-Jul-07,259.85,259.96,254.74,254.74,-
30-Jul-07,256.20,259.41,254.99,257.80,-
27-Jul-07,254.01,258.05,252.50,255.69,-
26-Jul-07,254.12,256.04,249.19,253.75,-
25-Jul-07,258.23,258.25,252.53,254.63,-
24-Jul-07,254.40,259.09,253.30,256.74,-
23-Jul-07,259.25,259.74,255.82,256.00,-
20-Jul-07,255.69,261.33,254.50,259.80,-
19-Jul-07,276.45,276.48,270.85,274.02,-
18-Jul-07,276.67,276.97,271.63,274.48,-
17-Jul-07,277.24,278.59,275.91,277.22,-
16-Jul-07,274.87,279.01,274.38,276.22,-
13-Jul-07,273.68,276.06,273.35,275.80,-
12-Jul-07,272.66,273.39,269.84,272.39,-
11-Jul-07,271.53,272.98,269.73,271.96,-
10-Jul-07,271.62,273.23,270.55,271.40,-
9-Jul-07,271.23,274.10,269.86,271.01,-
6-Jul-07,270.35,271.66,269.10,269.43,-
5-Jul-07,267.51,271.93,265.81,270.54,-
3-Jul-07,265.26,266.93,263.49,266.90,-
2-Jul-07,262.48,265.66,261.84,264.92,-
29-Jun-07,262.75,263.44,259.47,261.09,-
28-Jun-07,262.18,264.49,261.64,262.24,-
27-Jun-07,262.24,263.73,259.52,262.88,-
26-Jun-07,266.10,266.33,262.86,264.86,-
25-Jun-07,264.23,267.23,261.43,263.45,-
22-Jun-07,257.95,262.23,257.79,262.23,-
21-Jun-07,255.23,257.39,252.89,256.80,-
20-Jun-07,258.22,259.12,254.28,254.73,-
19-Jun-07,256.75,258.37,255.51,256.90,-
18-Jun-07,252.84,257.74,251.87,257.34,-
15-Jun-07,253.84,254.25,250.36,252.69,-
14-Jun-07,252.44,252.69,250.60,251.17,-
13-Jun-07,253.29,254.02,249.10,252.37,-
12-Jun-07,254.10,255.58,251.33,252.13,-
11-Jun-07,256.75,258.87,254.74,255.41,-
8-Jun-07,257.84,259.56,254.48,257.49,-
7-Jun-07,259.62,262.99,256.00,257.27,-
6-Jun-07,258.12,260.13,257.37,258.87,-
5-Jun-07,254.62,259.24,253.05,259.16,-
4-Jun-07,248.71,255.00,248.55,253.28,-
